PLID,22m Restart Kick,5 second rule,50m Restart,50m Restart Kick,Accidental Knock On,Accidental Offside,Advantage,Attacking Catch,Attacking Loose Ball,Attempted Intercept,Bad Offload,Bad Pass,Bomb,Box,Break Pass,Bumped Off,Carried In Touch,Carried Over,Charge Down,Charging Into Ruck,Chase Tackle,Chip,Collapsing Maul,Complete Pass,Conversion,Cover Tackle,Cross Pitch,Defender Beaten,Defensive Catch,Defensive Loose Ball,Deliberate Knock On,Dissent,Dissent Advance,Drop Goal,Dropped Ball Unforced,Edge Tackle,FTSU,Failure To Find Touch,Forward Pass,Foul Play - Dangerous Throw,Foul Play - Fighting,Foul Play - Foot Contact,Foul Play - High Tackle,Foul Play - Late Tackle,Foul Play - Mid Air Tackle,Foul Play - Other,Foul Play?,Guard Tackle,Handling Err?,Hands In Ruck,In Goal Touchdown,Incomplete Pass,Initial Break,Intercepted Pass,Interception,Jackal,Key Pass,Kick Error,Kick Return,LO Offence?,Line Tackle,Lineout,Lineout Offence,Lineout Steal 15m+,Lineout Steal Back,Lineout Steal Front,Lineout Steal Middle,Lineout Steal Quick,Lineout Win 15m+,Lineout Win Back,Lineout Win Front,Lineout Win Middle,Lineout Win Quick,Lost Ball Forced,Lost In Ruck Or Maul,Low,Mark,Maul Obstruction,Miss Pass,No 8 Pass,No 8 Pick Up,Not Releasing,Not Rolling Away,Obstruction,Off Feet At Ruck,Off Target Pass,Offload,Offside,Offside At Kick,Offside At Restart,One Out Drive,Other Carry,Other Error,Other Offence,Other Tackle,Outpaced,Pass Error,Penalty Goal,Pick And Go,Poor Referee Signal,Positional,Receiver,Red,Referee Obstruction,Restart Catch,Restart Return,Ruck Pass,Scrum,Scrum Half Kick,Scrum Half Pass,Scrum Half Run,Scrum Offence,Start Period,Start Set 50m Restart Retained,Start Set Lineout Steal,Stepped,Support Carry,Supported Break,TEST,Tap Back,Techinal offence?,Techinical Offence?,Territorial,Throw 15m+,Throw Back,Throw Front,Throw Middle,Throw Quick,Touch Kick,Try Pass,Turnover Won,Video Ref Awarded,Video Ref Dissallowed,Video Review,Wrong Mark?,Wrong Side At Maul,Wrong Side At Ruck,Wrong Side Run,Yellow,metres per Pick And Go,metres per One Out Drive,metres per Kick Return,metres per Restart Return,metres per Support Carry,metres per Other Carry,PLFORN,PLSURN
118,0.0,0.0,0.0,0.0,0.20356234096692113,0.0,0.0,0.0,1.0178117048346056,0.0,0.0,0.0,0.0,0.0,0.20356234096692113,0.40712468193384227,0.0,0.0,0.20356234096692113,0.0,2.544529262086514,0.0,0.0,6.819338422391858,0.0,0.3053435114503817,0.0,1.0178117048346056,0.0,0.3053435114503817,0.0,0.0,0.0,0.0,0.5089058524173028,0.0,0.0,0.0,0.0,0.0,0.0,0.10178117048346057,0.10178117048346057,0.0,0.0,0.10178117048346057,0.0,1.3231552162849873,0.0,0.10178117048346057,0.0,0.20356234096692113,0.10178117048346057,0.0,0.0,2.035623409669211,0.0,0.0,0.0,0.0,12.41730279898219,0.0,0.10178117048346057,0.0,0.0,0.0,0.0,0.0,0.0,0.10178117048346057,0.0,0.0,0.0,0.10178117048346057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10178117048346057,0.3053435114503817,0.20356234096692113,0.20356234096692113,0.10178117048346057,0.5089058524173028,0.3053435114503817,0.0,0.0,2.035623409669211,4.3765903307888046,0.0,0.0,1.0178117048346056,0.10178117048346057,0.0,0.0,3.1552162849872776,0.0,0.0,0.0,0.10178117048346057,0.0,0.20356234096692113,0.3053435114503817,0.0,0.0,0.0,0.10178117048346057,0.0,0.0,0.0,0.0,0.0,0.6106870229007634,0.20356234096692113,0.0,0.40712468193384227,0.10178117048346057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20356234096692113,0.0,0.20356234096692113,0.45588235294117646,3.3333333333333335,0.0,0.12,0.6666666666666666,0.581081081081081,George,Smith
1927,0.0,0.0,0.0,0.0,0.07810974419058778,0.0,0.0,0.03124389767623511,0.7967193907439952,0.0,0.03124389767623511,0.09373169302870532,0.0,0.0,0.3280609256004686,0.7029876977152899,0.03124389767623511,0.015621948838117555,0.09373169302870532,0.0,1.8902558094122242,0.015621948838117555,0.0,5.905096660808436,0.0,0.39054872095293885,0.0,1.718414372192931,0.12497559070494044,0.46865846514352666,0.03124389767623511,0.0,0.015621948838117555,0.0,0.5311462604959969,0.1718414372192931,0.15621948838117555,0.0,0.07810974419058778,0.0,0.0,0.0,0.06248779535247022,0.03124389767623511,0.0,0.03124389767623511,0.0,0.7810974419058777,0.0,0.06248779535247022,0.0,0.5467682093341144,0.42179261862917394,0.04686584651435266,0.04686584651435266,1.0310486233157585,0.0,0.0,0.2030853348955282,0.0,11.138449521577817,0.0,0.0,0.0,0.0,0.0,0.015621948838117555,0.0,0.015621948838117555,0.0,0.3749267721148213,0.03124389767623511,0.07810974419058778,0.23432923257176333,0.29681702792423353,0.015621948838117555,0.0,0.0,0.0,0.0,0.0,0.15621948838117555,0.2030853348955282,0.03124389767623511,0.12497559070494044,0.07810974419058778,0.7498535442296426,0.12497559070494044,0.0,0.0,3.8742433118531534,4.421011521187268,0.015621948838117555,0.015621948838117555,1.1091583675063463,0.18746338605741064,0.04686584651435266,0.0,1.046670572153876,0.0,0.09373169302870532,0.0,0.0,0.0,1.7809021675454013,1.9214997070884592,0.0,0.0,0.0,0.0,0.0,0.015621948838117555,0.0,0.0,0.0,0.8123413395821129,0.3436828744385862,0.10935364186682288,0.21870728373364576,0.03124389767623511,0.0,0.0,0.03124389767623511,0.0,0.0,0.0,0.0,0.0,0.015621948838117555,0.09373169302870532,0.0,0.0,0.0,0.0,0.0,0.04686584651435266,0.09373169302870532,0.0,0.07810974419058778,0.5726495726495726,0.44206773618538325,0.203125,0.21964285714285714,0.14012738853503184,0.3256616800920598,Fritz,Lee
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16227180527383367,0.9736308316430021,0.0,0.0,0.0,0.0,0.0,0.6490872210953347,1.2981744421906694,0.0,0.0,0.16227180527383367,0.0,1.460446247464503,0.0,0.0,6.977687626774848,0.0,0.6490872210953347,0.0,2.2718052738336714,0.6490872210953347,0.6490872210953347,0.0,0.0,0.0,0.0,0.32454361054766734,0.6490872210953347,0.0,0.0,0.0,0.0,0.0,0.0,0.16227180527383367,0.0,0.0,0.0,0.0,0.16227180527383367,0.0,0.0,0.0,0.0,0.32454361054766734,0.0,0.0,0.32454361054766734,0.0,0.0,0.9736308316430021,0.0,7.789046653144017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32454361054766734,0.0,0.0,0.0,0.0,0.0,0.16227180527383367,0.0,0.16227180527383367,0.16227180527383367,0.0,2.5963488843813387,0.0,0.0,0.0,0.8113590263691685,6.16632860040568,0.0,0.0,0.0,0.16227180527383367,0.0,0.0,0.8113590263691685,0.0,0.0,0.0,0.0,0.0,0.48681541582150106,0.32454361054766734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48681541582150106,0.9736308316430021,0.0,0.16227180527383367,0.0,0.0,0.0,0.16227180527383367,0.0,0.0,0.0,0.0,0.0,0.0,0.32454361054766734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,1.6666666666666667,0.24,0.5,0.2,0.3247863247863248,Aurelien,Rougerie
2242,0.756501182033097,0.0,0.0,4.539007092198582,0.0,0.0,0.0,0.09456264775413713,0.756501182033097,0.0,0.0,0.18912529550827425,1.3238770685579198,0.0,0.18912529550827425,0.756501182033097,0.0,0.0,0.0,0.0,0.0,0.18912529550827425,0.0,23.451536643026007,2.080378250591017,0.28368794326241137,0.0,0.851063829787234,2.6477541371158395,1.513002364066194,0.0,0.0,0.0,0.28368794326241137,0.18912529550827425,0.5673758865248227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18912529550827425,0.0,0.0,0.09456264775413713,1.4184397163120568,0.18912529550827425,0.18912529550827425,0.0,0.18912529550827425,0.0,0.5673758865248227,1.702127659574468,0.0,6.5248226950354615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18912529550827425,0.851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.09456264775413713,0.0,0.0,0.0,0.4728132387706856,0.0,0.0,0.0,0.756501182033097,3.026004728132388,0.0,0.0,0.0,0.0,0.0,1.8912529550827424,0.0,0.0,0.09456264775413713,0.0,0.0,0.0,0.5673758865248227,0.3782505910165485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782505910165485,0.0,0.0,0.0,0.09456264775413713,0.0,0.0,6.5248226950354615,0.0,0.0,0.0,0.0,0.0,5.4846335697399535,0.09456264775413713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.13846153846153847,0.10256410256410256,0.0,0.47761194029850745,Gavin,Henson
2370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,0.2127659574468085,0.0,0.0,0.0,0.0,1.3829787234042552,0.0,0.0,2.3404255319148937,0.0,0.0,0.0,0.0,0.0,0.2127659574468085,0.0,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5957446808510638,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.0,8.829787234042552,0.0,0.0,0.0,0.0,0.425531914893617,0.0,0.0,0.0,0.0,1.9148936170212765,0.425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.0,0.3191489361702127,0.3191489361702127,0.0,0.0,1.1702127659574468,0.851063829787234,0.0,0.0,0.5319148936170213,0.0,0.0,0.0,0.5319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.5319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.10638297872340426,5.0,1.5714285714285714,0.0,0.0,0.7142857142857143,1.3333333333333333,Donncha,O'Callaghan
2475,0.5673758865248227,0.0,0.0,2.8368794326241136,0.0,0.0,0.0,0.0,1.475177304964539,0.0,0.11347517730496454,0.11347517730496454,0.3404255319148936,1.475177304964539,0.9078014184397163,1.3617021276595744,0.0,0.11347517730496454,0.22695035460992907,0.0,0.6808510638297872,1.0212765957446808,0.0,30.97872340425532,1.702127659574468,0.3404255319148936,0.9078014184397163,0.5673758865248227,0.45390070921985815,1.1347517730496455,0.0,0.0,0.0,0.0,0.3404255319148936,0.11347517730496454,0.0,0.0,0.3404255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5673758865248227,0.0,0.11347517730496454,0.0,2.1560283687943262,0.3404255319148936,0.0,0.0,0.11347517730496454,0.0,0.6808510638297872,0.6808510638297872,0.0,6.581560283687943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11347517730496454,0.11347517730496454,0.0,0.6808510638297872,0.11347517730496454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11347517730496454,0.0,0.7943262411347518,0.11347517730496454,0.0,0.0,0.0,2.269503546099291,0.0,0.0,0.3404255319148936,0.22695035460992907,0.11347517730496454,1.929078014184397,0.7943262411347518,0.0,0.11347517730496454,0.0,0.0,0.0,0.22695035460992907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6808510638297872,0.45390070921985815,0.0,0.0,0.11347517730496454,0.0,0.0,3.1773049645390072,0.0,0.0,0.0,0.0,0.11347517730496454,4.085106382978723,0.3404255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.0,0.1276595744680851,0.0,0.5714285714285714,0.37037037037037035,Frédéric,Michalak
2691,0.0,0.0,0.0,0.028238616307800918,0.0,0.0,0.0,0.028238616307800918,1.2424991175432403,0.028238616307800918,0.028238616307800918,0.11295446523120367,0.11295446523120367,10.617719731733144,0.7624426403106247,0.5647723261560184,0.08471584892340275,0.0,0.028238616307800918,0.0,0.5647723261560184,0.056477232615601836,0.0,71.13307447935051,0.0,1.1013060360042357,0.028238616307800918,0.3671020120014119,0.5082950935404165,0.8189198729262266,0.0,0.028238616307800918,0.0,0.0,0.19767031415460642,0.25414754677020823,0.0,0.0,0.0,0.0,0.0,0.028238616307800918,0.028238616307800918,0.028238616307800918,0.0,0.0,0.0,0.5365337098482175,0.0,0.0,0.056477232615601836,1.5531238969290504,0.19767031415460642,0.056477232615601836,0.056477232615601836,0.0,0.056477232615601836,0.08471584892340275,0.42357924461701374,0.0,1.8072714436992587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028238616307800918,0.0,0.0,0.1411930815390046,0.056477232615601836,0.338863395693611,0.056477232615601836,0.0,0.0,0.0,0.0,0.056477232615601836,0.0,0.0,0.0,0.338863395693611,0.31062477938581007,0.028238616307800918,0.0,0.0,0.028238616307800918,0.988351570773032,0.0,0.0,1.2142605012354395,0.19767031415460642,0.028238616307800918,0.0,1.2424991175432403,0.0,0.056477232615601836,0.0,0.0,0.0,0.1694316978468055,0.028238616307800918,0.0,0.0,0.0,0.0,0.0,0.056477232615601836,0.0,0.0,0.0,0.6494881750794211,0.6212495587716201,0.4518178609248147,0.1411930815390046,0.19767031415460642,0.0,0.0,1.327214966466643,0.0,0.0,0.0,0.0,0.028238616307800918,0.5930109424638192,0.4800564772326156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41509433962264153,0.0,0.18518518518518517,0.0,0.13836477987421383,0.3017241379310345,Richard,Wigglesworth
3024,0.12158054711246201,0.0,0.0,0.0,0.0,0.0,0.0,0.24316109422492402,0.729483282674772,0.0,0.0,0.12158054711246201,0.0,0.0,0.24316109422492402,0.12158054711246201,0.12158054711246201,0.0,0.12158054711246201,0.0,1.21580547112462,0.12158054711246201,0.0,0.851063829787234,0.0,0.48632218844984804,0.0,0.851063829787234,0.48632218844984804,0.729483282674772,0.0,0.0,0.0,0.0,0.364741641337386,0.9726443768996961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24316109422492402,0.0,0.0,0.0,0.12158054711246201,0.9726443768996961,0.0,0.0,0.12158054711246201,0.12158054711246201,0.0,0.60790273556231,0.0,4.0121580547112465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24316109422492402,0.364741641337386,0.12158054711246201,0.0,0.0,0.0,0.0,0.0,0.0,0.24316109422492402,0.0,0.0,0.0,0.729483282674772,0.0,0.0,0.0,0.0,2.674772036474164,0.0,0.0,0.12158054711246201,0.0,0.0,0.0,0.12158054711246201,0.0,0.0,0.0,0.0,0.0,0.12158054711246201,0.12158054711246201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364741641337386,0.9726443768996961,0.60790273556231,0.364741641337386,0.12158054711246201,0.0,0.0,0.364741641337386,0.0,0.0,0.0,0.0,0.0,0.0,0.24316109422492402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.25,0.0625,0.08695652173913043,0.16793893129770993,Vincent,Clerc
3057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3143418467583497,0.0,0.0,0.0,0.0,0.0,0.15717092337917485,0.15717092337917485,0.15717092337917485,0.0,0.15717092337917485,0.0,1.4145383104125737,0.0,0.15717092337917485,5.18664047151277,0.0,0.0,0.0,0.15717092337917485,0.15717092337917485,0.7858546168958743,0.0,0.0,0.0,0.0,0.7858546168958743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5717092337917486,0.0,0.0,0.0,0.15717092337917485,0.15717092337917485,0.0,0.0,0.9430255402750491,0.0,0.0,0.0,0.0,10.216110019646365,0.0,0.0,0.0,0.0,0.15717092337917485,0.0,0.0,0.0,0.3143418467583497,1.2573673870333988,0.6286836935166994,0.15717092337917485,0.15717092337917485,0.3143418467583497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15717092337917485,0.0,1.4145383104125737,0.3143418467583497,0.0,0.0,3.4577603143418467,2.986247544204322,0.0,0.0,0.15717092337917485,0.0,0.0,0.0,0.7858546168958743,0.0,0.0,0.0,0.0,0.0,1.4145383104125737,0.6286836935166994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3143418467583497,0.7858546168958743,0.4715127701375246,0.15717092337917485,0.3143418467583497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3143418467583497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15717092337917485,0.7142857142857143,1.0476190476190477,0.0,0.0,0.23809523809523808,0.6333333333333333,Gregory,Lamboley
3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41131105398457585,0.0,0.0,0.10282776349614396,0.0,0.0,0.0,0.30848329048843187,0.10282776349614396,0.0,0.20565552699228792,0.0,0.8226221079691517,0.0,0.0,4.113110539845758,0.0,0.10282776349614396,0.0,0.30848329048843187,0.0,0.20565552699228792,0.0,0.0,0.0,0.0,0.10282776349614396,0.10282776349614396,0.10282776349614396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8226221079691517,0.0,0.0,0.0,0.0,0.10282776349614396,0.0,0.0,0.20565552699228792,0.0,0.0,0.0,0.0,8.637532133676093,0.0,0.0,0.0,0.0,0.10282776349614396,0.20565552699228792,0.0,0.0,0.0,1.4395886889460154,0.41131105398457585,0.0,0.10282776349614396,0.30848329048843187,0.0,0.0,0.0,0.0,0.0,0.0,0.10282776349614396,0.20565552699228792,0.0,0.0,0.0,0.30848329048843187,0.0,0.0,0.0,3.7017994858611827,1.6452442159383034,0.0,0.0,0.30848329048843187,0.0,0.10282776349614396,0.0,0.30848329048843187,0.0,0.10282776349614396,0.0,0.0,0.0,0.5141388174807198,0.20565552699228792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30848329048843187,0.30848329048843187,0.0,0.10282776349614396,0.10282776349614396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0285714285714285,0.0,0.0,0.2727272727272727,1.3333333333333333,Christian,Day
